Date,Gross_Profit,Revenue,Net_Income,EPS,Open,High,Low,Close,Adj Close,Volume,GDP,Sentiment_Score
2020-01-01,874.5401188473625,1691.391987007839,367.0199597165882,1.0911806562496904,193.27105081327613,189.51552974723052,93.83715947205566,129.39167605049337,184.2538229398637,1081364,20400.938095532718,-0.7878159001040959
2020-01-02,1450.7143064099162,1363.1954336028514,138.21412553386727,6.72486441768588,154.42539661136976,222.8370854339646,178.2739540910386,144.63263599865613,150.08766058895992,1820748,20826.93153342032,-0.5338936240302827
2020-01-03,1231.993941811405,2816.9011226672565,349.5437298706292,9.21958252818613,120.0282017867626,184.5806098410425,104.99728908688297,172.7018527014134,198.14214249220254,2948330,20412.405431803556,0.9007595029641864
2020-01-06,1098.6584841970366,2166.783589532241,280.70707149489164,6.513161215103373,161.6783607852541,217.1093157085976,87.33640674596026,169.29202292247885,109.73767291080043,4513009,21753.120981577435,0.9166553729627736
2020-01-07,656.0186404424365,1801.7028335272798,334.64338527018964,8.863287341197106,174.2881493667939,230.5430043045979,146.3146248975209,198.73684723122,130.30657611751016,3109020,20316.572512118197,-0.804585449226483
2020-01-08,655.9945203362026,1924.0116072882654,167.20568309794538,7.515757499194844,173.79173933540255,244.6756244692241,139.53663701568726,122.51610242159319,163.82244150406115,4719481,20911.321643106185,-0.9700029992457266
2020-01-09,558.0836121681995,2894.5666792236307,394.74949797767283,2.085025747633212,152.144902416688,190.0212275849672,121.51456539927457,166.23179135395822,135.00068684731787,2935187,21211.39848091975,-0.6777999534871555
2020-01-10,1366.1761457749353,1306.7028062321604,445.1188310172914,9.122079765572575,106.84587193335781,228.32979829560477,122.2192233880678,160.96819082757776,192.83725519807916,2961796,21383.72781632169,0.9920255667644966
2020-01-13,1101.115011743209,2172.4596640335944,186.69592003631027,1.597994599201974,137.1112938430128,176.59284506321188,158.5063921046431,191.509845449003,106.56260881778175,1478987,20766.138739453014,-0.6400007667786263
2020-01-14,1208.0725777960456,2011.777357768932,138.2858222080647,5.805707252929874,192.07666084633573,249.03323037936485,99.5712640099649,115.63621416448751,154.94118320609647,4210624,21738.198137449457,0.005095213444046287
